BED TIME;GET UP TIME
24/04/2021 10:15:00;24/04/2021 19:40:00
25/04/2021 16:15:00;25/04/2021 23:00:00
26/04/2021 18:00:00;27/04/2021 01:30:00
27/04/2021 19:15:00;28/04/2021 02:00:00
28/04/2021 20:00:00;29/04/2021 05:30:00
29/04/2021 22:30:00;30/04/2021 06:30:00
30/04/2021 22:00:00;01/05/2021 07:05:00
01/05/2021 23:30:00;02/05/2021 08:40:00
02/05/2021 23:00:00;03/05/2021 08:45:00
04/05/2021 00:30:00;04/05/2021 09:45:00
05/05/2021 02:00:00;05/05/2021 10:45:00
07/05/2021 02:00:00;07/05/2021 12:00:00
08/05/2021 05:30:00;08/05/2021 13:00:00
09/05/2021 03:30:00;09/05/2021 12:18:00
10/05/2021 05:45:00;10/05/2021 12:30:00
11/05/2021 05:45:00;11/05/2021 13:45:00
12/05/2021 07:45:00;12/05/2021 13:30:00
13/05/2021 04:00:00;13/05/2021 10:30:00
14/05/2021 02:00:00;14/05/2021 09:45:00
15/05/2021 02:30:00;15/05/2021 12:15:00
17/05/2021 03:00:00;17/05/2021 13:00:00
18/05/2021 04:30:00;18/05/2021 11:00:00
19/05/2021 01:30:00;19/05/2021 11:45:00
20/05/2021 04:30:00;20/05/2021 13:30:00
21/05/2021 04:30:00;21/05/2021 13:00:00
22/05/2021 03:45:00;22/05/2021 13:45:00
23/05/2021 04:30:00;23/05/2021 13:15:00
24/05/2021 07:15:00;24/05/2021 15:15:00
28/05/2021 02:30:00;28/05/2021 13:00:00
